segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,ml_predicted_sss,ml_predicted_band,ml_shap_top_feature,ml_confidence
SE/4183,MH,secondary,rural,70.83333333333334,50.0,28.685606,Acceptable,unavailable,1.2769172
SE/8617,MH,secondary,rural,70.83333333333334,50.0,32.53538,Acceptable,unavailable,1.5625514
SE/4924,MH,secondary,rural,85.0,60.0,25.835005,Acceptable,unavailable,1.4956087
SE/4206,MH,secondary,rural,70.83333333333334,50.0,31.197432,Acceptable,unavailable,1.2663038
SE/5268,MH,secondary,rural,85.0,60.0,29.067007,Acceptable,unavailable,0.51157534
SE/7039,MH,secondary,rural,85.0,60.0,26.188837,Acceptable,unavailable,0.6528338
SE/5266,MH,secondary,rural,85.0,60.0,25.600796,Acceptable,unavailable,0.6578074
SE/5708,MH,secondary,rural,85.0,60.0,24.80447,Acceptable,unavailable,0.91419107
SE/5904,MH,secondary,rural,85.0,60.0,26.726688,Acceptable,unavailable,1.02043
SE/5006,MH,secondary,rural,70.83333333333334,50.0,28.537899,Acceptable,unavailable,1.2463003
SE/6808,MH,secondary,rural,85.0,60.0,28.22651,Acceptable,unavailable,1.345599
SE/5688,MH,secondary,rural,85.0,60.0,26.302328,Acceptable,unavailable,0.608276
SE/8283,MH,secondary,rural,85.0,60.0,25.017204,Acceptable,unavailable,2.100238
SE/7547,MH,secondary,rural,85.0,60.0,26.264973,Acceptable,unavailable,1.4323536
SE/5692,MH,secondary,rural,85.0,60.0,25.326971,Acceptable,unavailable,0.85939085
SE/5695,MH,secondary,rural,85.0,60.0,27.759619,Acceptable,unavailable,0.4515225
SE/5647,MH,secondary,rural,85.0,60.0,29.572638,Acceptable,unavailable,0.987637
SE/9360,MH,secondary,rural,85.0,60.0,26.076782,Acceptable,unavailable,0.9583665
SE/4411,MH,secondary,rural,85.0,60.0,28.958073,Acceptable,unavailable,1.1039823
SE/10876,MH,secondary,rural,85.0,60.0,26.107342,Acceptable,unavailable,0.6427385
SE/10342,MH,secondary,rural,85.0,60.0,24.869019,Acceptable,unavailable,0.6784381
SE/4455,MH,secondary,urban,80.0,50.0,48.283077,Moderate,unavailable,1.612184
SE/8142,MH,secondary,rural,85.0,60.0,25.828016,Acceptable,unavailable,1.175194
PR/355,MH,primary,rural,53.33333333333333,40.0,30.941435,Acceptable,unavailable,1.0972061
SE/4487,MH,secondary,rural,85.0,60.0,25.31697,Acceptable,unavailable,0.6984918
SE/4959,MH,secondary,rural,85.0,60.0,26.550684,Acceptable,unavailable,0.82881576
SE/8534,MH,secondary,rural,85.0,60.0,31.08957,Acceptable,unavailable,1.0706395
SE/7010,MH,secondary,rural,85.0,60.0,31.448044,Acceptable,unavailable,1.0575435
SE/5691,MH,secondary,rural,85.0,60.0,29.09125,Acceptable,unavailable,1.0764956
SE/5699,MH,secondary,rural,85.0,60.0,26.94708,Acceptable,unavailable,0.80138165
SE/7523,MH,secondary,rural,85.0,60.0,31.578505,Acceptable,unavailable,2.0318606
TR/13730,MH,trunk,rural,80.0,90.0,22.55767,Acceptable,unavailable,1.6095256
TR/13795,MH,trunk,rural,80.0,90.0,18.164148,Acceptable,unavailable,0.53160685
SE/4488,MH,secondary,rural,56.66666666666667,40.0,37.124176,Moderate,unavailable,1.4512753
SE/4456,MH,secondary,rural,85.0,60.0,29.142733,Acceptable,unavailable,1.2093998
SE/10331,MH,secondary,rural,85.0,60.0,29.24146,Acceptable,unavailable,0.47628844
SE/4563,MH,secondary,rural,85.0,60.0,27.653791,Acceptable,unavailable,0.68066496
SE/8735,MH,secondary,rural,85.0,60.0,29.767904,Acceptable,unavailable,0.6241343
TR/13999,MH,trunk,rural,80.0,90.0,19.48112,Acceptable,unavailable,0.59625125
TR/13745,MH,trunk,urban,80.0,60.0,34.696243,Acceptable,unavailable,0.5783773
SE/4425,MH,secondary,rural,85.0,60.0,27.389137,Acceptable,unavailable,0.58439463
SE/7193,MH,secondary,rural,85.0,60.0,27.712288,Acceptable,unavailable,1.2126186
SE/4157,MH,secondary,rural,85.0,60.0,28.230349,Acceptable,unavailable,2.1997337
TR/12509,MH,trunk,rural,80.0,90.0,22.373068,Acceptable,unavailable,2.104296
PR/3417,MH,primary,urban,80.0,50.0,44.976746,Moderate,unavailable,0.8451513
TR/13746,MH,trunk,urban,80.0,60.0,34.323215,Acceptable,unavailable,1.0682795
TR/13740,MH,trunk,urban,80.0,60.0,36.601242,Moderate,unavailable,0.7428429
TR/11617,MH,trunk,rural,80.0,90.0,18.241947,Acceptable,unavailable,0.9122714
TR/13741,MH,trunk,urban,80.0,60.0,36.962135,Moderate,unavailable,0.7812206
TR/13734,MH,trunk,urban,80.0,60.0,37.323845,Moderate,unavailable,1.3113465
PR/1825,MH,primary,rural,80.0,60.0,28.117023,Acceptable,unavailable,0.8518983
SE/7224,MH,secondary,rural,85.0,60.0,30.48972,Acceptable,unavailable,0.5295766
SE/9207,MH,secondary,rural,85.0,60.0,29.290686,Acceptable,unavailable,0.9304967
SE/9209,MH,secondary,rural,85.0,60.0,31.144638,Acceptable,unavailable,1.349768
TR/13669,MH,trunk,rural,80.0,90.0,21.163063,Acceptable,unavailable,2.0561426
PR/3415,MH,primary,rural,80.0,60.0,28.594107,Acceptable,unavailable,1.1106293
SE/4180,MH,secondary,rural,85.0,60.0,34.21069,Acceptable,unavailable,1.3494664
PR/1086,MH,primary,rural,80.0,60.0,27.706156,Acceptable,unavailable,0.5914557
SE/9561,MH,secondary,rural,49.583333333333336,35.0,47.086678,Moderate,unavailable,3.9224544
PR/2491,MH,primary,rural,80.0,60.0,29.33851,Acceptable,unavailable,1.8590103
TR/12504,MH,trunk,urban,80.0,60.0,34.09487,Acceptable,unavailable,1.0469943
TR/14025,MH,trunk,rural,80.0,90.0,20.75162,Acceptable,unavailable,1.1156628
SE/7595,MH,secondary,rural,85.0,60.0,28.711554,Acceptable,unavailable,1.3070366
TR/12441,MH,trunk,rural,80.0,90.0,23.556755,Acceptable,unavailable,1.2582916
TR/11939,MH,trunk,rural,80.0,90.0,25.12408,Acceptable,unavailable,0.99285764
TR/13671,MH,trunk,rural,80.0,90.0,19.570232,Acceptable,unavailable,2.2644012
TR/14024,MH,trunk,rural,80.0,90.0,21.239235,Acceptable,unavailable,0.8813324
SE/7654,MH,secondary,rural,85.0,60.0,30.93668,Acceptable,unavailable,0.8814933
TR/14061,MH,trunk,rural,80.0,90.0,20.351938,Acceptable,unavailable,1.4713848
TR/13743,MH,trunk,urban,80.0,60.0,37.51651,Moderate,unavailable,1.3248328
TR/14062,MH,trunk,rural,80.0,90.0,20.22058,Acceptable,unavailable,1.5124762
TR/13744,MH,trunk,urban,80.0,60.0,34.867466,Acceptable,unavailable,0.634319
TR/14008,MH,trunk,rural,80.0,90.0,19.362288,Acceptable,unavailable,0.32099372
TR/14014,MH,trunk,rural,80.0,90.0,25.011456,Acceptable,unavailable,1.396064
PR/1334,MH,primary,rural,80.0,60.0,27.225157,Acceptable,unavailable,0.59020877
TR/14013,MH,trunk,rural,80.0,90.0,27.141048,Acceptable,unavailable,1.8724469
TR/13800,MH,trunk,rural,80.0,90.0,15.825993,Acceptable,unavailable,1.7861629
TR/14081,MH,trunk,urban,80.0,60.0,34.108135,Acceptable,unavailable,0.872801
TR/12133,MH,trunk,rural,80.0,90.0,27.011646,Acceptable,unavailable,1.3318388
TR/13739,MH,trunk,rural,80.0,90.0,20.87989,Acceptable,unavailable,0.3947449
TR/12593,MH,trunk,rural,80.0,90.0,20.505041,Acceptable,unavailable,1.0064617
TR/12986,MH,trunk,rural,80.0,90.0,16.963024,Acceptable,unavailable,0.7294026
TR/14016,MH,trunk,rural,80.0,90.0,23.677778,Acceptable,unavailable,2.1100688
TR/14015,MH,trunk,rural,80.0,90.0,24.351448,Acceptable,unavailable,1.9793591
TR/13837,MH,trunk,urban,80.0,60.0,41.391697,Moderate,unavailable,3.7727118
TR/14005,MH,trunk,rural,80.0,90.0,18.623629,Acceptable,unavailable,1.6812451
SE/7531,MH,secondary,urban,80.0,50.0,46.510895,Moderate,unavailable,0.667145
TR/13879,MH,trunk,urban,80.0,60.0,35.798813,Moderate,unavailable,1.6958579
TR/10929,MH,trunk,rural,80.0,90.0,19.161926,Acceptable,unavailable,1.67243
TR/11506,MH,trunk,rural,80.0,90.0,18.18185,Acceptable,unavailable,1.4203821
TR/14007,MH,trunk,rural,80.0,90.0,18.864065,Acceptable,unavailable,1.6970112
TR/13878,MH,trunk,urban,80.0,60.0,35.612213,Moderate,unavailable,1.7441721
TR/13894,MH,trunk,rural,80.0,90.0,17.662884,Acceptable,unavailable,1.3428818
TR/12853,MH,trunk,rural,80.0,90.0,17.636019,Acceptable,unavailable,1.4193703
TR/13161,MH,trunk,urban,80.0,60.0,37.626564,Moderate,unavailable,1.8851328
TR/13876,MH,trunk,rural,80.0,90.0,16.690857,Acceptable,unavailable,0.9348387
TR/13738,MH,trunk,urban,80.0,60.0,37.608498,Moderate,unavailable,1.4776658
TR/13673,MH,trunk,rural,80.0,90.0,19.134415,Acceptable,unavailable,0.95547944
TR/12854,MH,trunk,rural,80.0,90.0,17.361294,Acceptable,unavailable,1.5548776
TR/12594,MH,trunk,rural,80.0,90.0,23.286041,Acceptable,unavailable,0.8652281
TR/13823,MH,trunk,urban,80.0,60.0,37.916958,Moderate,unavailable,1.182406
TR/13302,MH,trunk,rural,71.11111111111111,80.0,22.672018,Acceptable,unavailable,1.3654809
TR/13822,MH,trunk,urban,80.0,60.0,38.562958,Moderate,unavailable,1.4510314
TR/13948,MH,trunk,rural,80.0,90.0,23.526655,Acceptable,unavailable,0.9235572
SE/7202,MH,secondary,rural,70.83333333333334,50.0,32.520084,Acceptable,unavailable,1.0549145
TR/13006,MH,trunk,rural,80.0,90.0,18.015358,Acceptable,unavailable,0.6149993
TR/13949,MH,trunk,rural,80.0,90.0,23.001482,Acceptable,unavailable,0.80907446
TR/13910,MH,trunk,rural,80.0,90.0,21.240126,Acceptable,unavailable,0.51003444
TR/13007,MH,trunk,rural,80.0,90.0,17.729261,Acceptable,unavailable,0.3085326
TR/14042,MH,trunk,rural,80.0,90.0,17.473228,Acceptable,unavailable,0.56079495
TR/13623,MH,trunk,urban,80.0,60.0,38.944004,Moderate,unavailable,0.62136525
PR/3672,MH,primary,urban,80.0,50.0,45.495506,Moderate,unavailable,0.7973282
TR/12158,MH,trunk,rural,80.0,90.0,17.877209,Acceptable,unavailable,0.37685782
TR/13622,MH,trunk,urban,80.0,60.0,36.67796,Moderate,unavailable,0.74354756
TR/12990,MH,trunk,rural,80.0,90.0,22.494415,Acceptable,unavailable,1.2367688
TR/12564,MH,trunk,rural,71.11111111111111,80.0,25.695688,Acceptable,unavailable,1.623575
SE/4160,MH,secondary,rural,70.83333333333334,50.0,29.216291,Acceptable,unavailable,1.170115
TR/14019,MH,trunk,rural,80.0,90.0,26.524698,Acceptable,unavailable,1.3360639
TR/13881,MH,trunk,urban,66.66666666666666,50.0,42.58236,Moderate,unavailable,4.418251
TR/13675,MH,trunk,urban,80.0,60.0,35.067856,Moderate,unavailable,1.1826348
TR/14046,MH,trunk,rural,80.0,90.0,27.718742,Acceptable,unavailable,1.8459023
TR/14078,MH,trunk,rural,80.0,90.0,22.13675,Acceptable,unavailable,0.7801549
TR/13666,MH,trunk,rural,80.0,90.0,22.27737,Acceptable,unavailable,1.9538126
TR/14045,MH,trunk,rural,80.0,90.0,27.718742,Acceptable,unavailable,1.7568287
SE/5547,MH,secondary,rural,85.0,60.0,29.695894,Acceptable,unavailable,0.38330463
TR/13780,MH,trunk,rural,80.0,90.0,17.187168,Acceptable,unavailable,0.56358343
TR/12616,MH,trunk,rural,80.0,90.0,26.120764,Acceptable,unavailable,1.3791181
TR/11911,MH,trunk,rural,80.0,90.0,17.077345,Acceptable,unavailable,1.8520608
TR/14080,MH,trunk,rural,80.0,90.0,18.69244,Acceptable,unavailable,1.2382925
TR/13911,MH,trunk,rural,80.0,90.0,22.00215,Acceptable,unavailable,1.1393806
TR/12358,MH,trunk,urban,80.0,60.0,36.156452,Moderate,unavailable,0.7781867
TR/14077,MH,trunk,rural,80.0,90.0,21.813744,Acceptable,unavailable,1.333053
TR/14032,MH,trunk,rural,80.0,90.0,20.312841,Acceptable,unavailable,0.32320574
TR/12858,MH,trunk,rural,80.0,90.0,18.283443,Acceptable,unavailable,1.3067411
TR/13900,MH,trunk,rural,71.11111111111111,80.0,23.219994,Acceptable,unavailable,1.353727
TR/14041,MH,trunk,rural,80.0,90.0,22.649885,Acceptable,unavailable,1.7238204
SE/8797,MH,secondary,urban,80.0,50.0,49.78376,Moderate,unavailable,0.86530447
TR/13533,MH,trunk,rural,80.0,90.0,21.244698,Acceptable,unavailable,1.8401616
TR/14074,MH,trunk,rural,80.0,90.0,20.63041,Acceptable,unavailable,0.8532952
TR/13667,MH,trunk,rural,80.0,90.0,17.47356,Acceptable,unavailable,1.2893475
TR/12561,MH,trunk,rural,80.0,90.0,23.154408,Acceptable,unavailable,0.7352877
TR/11100,MH,trunk,rural,80.0,90.0,21.689745,Acceptable,unavailable,2.1953437
TR/13839,MH,trunk,urban,80.0,60.0,41.536217,Moderate,unavailable,3.093852
TR/13909,MH,trunk,rural,80.0,90.0,21.76429,Acceptable,unavailable,1.4630458
TR/12357,MH,trunk,urban,80.0,60.0,36.30333,Moderate,unavailable,0.7603261
