country_code,_region,road_class_norm,sss_band,sss,n_segments,speed_limit,speed_85th,pct_over_limit,nilsson_fatal_ratio,est_lives_saved,lives_saved_lower,lives_saved_upper,recommended_limit,limit_change_needed,credibility_class,change_effort,land_use,corridor_label,area_km2,priority_rank,corridor_id
TH,11,motorway,Critical,68.34302133333334,3,60.0,90.98245614,0.7757844525490681,3.5676267214838786,3.5714,1.7857,7.1427000000000005,76.66666666666667,-16.666666666666668,Non-Credible,No change needed,urban,TH | 11 | motorway,0.0,1,1
TH,10,motorway,Critical,69.09119746969697,15,56.666666666666664,93.20740740666666,0.8988642971249639,8.532192719076564,3.1227,1.5613,6.2453,71.33333333333333,-14.666666666666666,Non-Credible,No change needed,urban,TH | 10 | motorway,0.0,2,2
TH,11,secondary,High Risk,55.411058597466464,61,81.47540983606558,60.338797814098356,0.06765958345385913,96.38876049382716,1.9687000000000001,0.9844,3.9374,46.42857142857143,27.142857142857142,Under-Speed,Investigate road condition,urban,TH | 11 | secondary,0.0,3,3
TH,13,motorway,Critical,68.109688,3,66.66666666666667,108.60000000000001,0.8921148426295313,4.2700347900390625,1.6704999999999999,0.8352999999999999,3.3411999999999997,80.0,-13.333333333333334,Non-Credible,No change needed,urban,TH | 13 | motorway,0.0,4,4
TH,14,trunk,High Risk,59.25918594282669,4,90.0,109.875,0.6434081942419925,11.503873847415122,1.6651,0.8326,3.3305,60.0,30.0,Low Credibility,Major (>20 km/h),urban,TH | 14 | trunk,0.0,5,5
TH,14,secondary,High Risk,55.0,48,85.41666666666667,64.55505952375,0.03184500686594285,155.86135308641974,1.4529999999999998,0.7263999999999999,2.9057,45.333333333333336,40.0,Under-Speed,Investigate road condition,urban,TH | 14 | secondary,0.0,6,6
TH,12,secondary,High Risk,55.0,60,81.41666666666667,59.962499999833334,0.036089730203606445,48.08651975308642,1.0353,0.5177,2.0708,45.38461538461539,35.38461538461539,Under-Speed,Investigate road condition,urban,TH | 12 | secondary,0.0,7,7
TH,10,secondary,High Risk,55.03803045099432,256,79.90234375,56.68638780363281,0.025558037958831336,77.45955679012347,0.732,0.3662,1.4637,47.857142857142854,31.547619047619047,Under-Speed,Investigate road condition,urban,TH | 10 | secondary,0.0,8,8
TH,19,secondary,High Risk,55.0,62,85.40322580645162,69.15725806451613,0.05971964767024857,113.872612345679,0.5548,0.27749999999999997,1.1091,49.166666666666664,36.875,Under-Speed,Investigate road condition,urban,TH | 19 | secondary,0.0,9,9
TH,13,secondary,High Risk,55.19651988636363,36,83.61111111111111,72.32142857111111,0.07542055445365034,100.55632716049381,0.5179,0.2589,1.0359,47.61904761904762,35.95238095238095,Credible,Major (>20 km/h),urban,TH | 13 | secondary,0.0,10,10
TH,17,trunk,Critical,81.71630666666667,4,85.0,115.2083333325,0.7637073126872865,15.473296373456792,0.40380000000000005,0.202,0.8077000000000001,60.0,25.0,Non-Credible,Major (>20 km/h),urban,TH | 17 | trunk,0.0,11,11
TH,50,secondary,High Risk,55.0,102,84.50980392156863,64.43218954235294,0.03580852917795114,11.297067901234566,0.3447,0.1721,0.6890999999999999,49.25925925925926,34.81481481481482,Under-Speed,Investigate road condition,urban,TH | 50 | secondary,0.0,12,12
TH,77,trunk,High Risk,59.13334284053565,4,80.0,101.72916666500001,0.593651834904015,8.60047268066406,0.3117,0.1558,0.6233,60.0,20.0,Non-Credible,Moderate (11-20 km/h),urban,TH | 77 | trunk,0.0,13,13
TH,20,secondary,High Risk,55.00046394060606,95,86.10526315789474,69.22982456136842,0.05999381024319304,61.46559999999999,0.2351,0.1173,0.4701,49.310344827586206,34.13793103448276,Under-Speed,Investigate road condition,urban,TH | 20 | secondary,0.0,14,14
TH,18,trunk,Critical,82.49408444444444,3,86.66666666666667,110.33333333333333,0.6988014370362023,13.032099999999998,0.2337,0.1169,0.4674,60.0,26.666666666666668,Non-Credible,Major (>20 km/h),urban,TH | 18 | trunk,0.0,15,15
TH,18,trunk,High Risk,58.255138863636354,3,90.0,110.16666666666667,0.6043465024664675,11.713506250000002,0.1911,0.0955,0.3822,60.0,30.0,Low Credibility,Major (>20 km/h),urban,TH | 18 | trunk,0.0,16,16
TH,77,trunk,Critical,71.14229050252199,3,56.666666666666664,96.97222222,0.6440953056301021,8.911514859199801,0.15919999999999998,0.0797,0.3185,60.0,-3.3333333333333335,Non-Credible,No change needed,urban,TH | 77 | trunk,0.0,17,17
TH,30,secondary,High Risk,55.05355298654852,97,84.74226804123711,77.00429553257732,0.14973226825608704,55.81750123456791,0.1343,0.0673,0.2691,49.0,35.833333333333336,Credible,Major (>20 km/h),urban,TH | 30 | secondary,0.0,18,18
TH,30,trunk,Critical,73.51738431818181,5,78.0,106.2,0.6587762470880079,13.970982716049383,0.1298,0.065,0.2598,60.0,18.0,Non-Credible,Moderate (11-20 km/h),urban,TH | 30 | trunk,0.0,19,19
TH,10,secondary,Critical,81.77113046875,16,31.25,71.625,0.9523437930236616,12.491983359999997,0.1253,0.0625,0.25029999999999997,48.75,-17.5,Non-Credible,No change needed,urban,TH | 10 | secondary,0.0,20,20
MH,urban_trunk,trunk,Critical,74.7811434905988,43,37.674418604651166,66.67731383603477,0.6068344867079994,9.026686419753087,0.104,0.0519,0.2087,55.348837209302324,-17.674418604651162,Non-Credible,No change needed,urban,MH | urban_trunk | trunk,0.0,21,21
