segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,ml_predicted_sss,ml_predicted_band,ml_shap_top_feature,ml_confidence
SE/4183,MH,secondary,rural,80.0,60.0,24.350336,Acceptable,unavailable,1.3123562
SE/8617,MH,secondary,rural,80.0,60.0,25.966866,Acceptable,unavailable,1.8010799
SE/4924,MH,secondary,rural,80.0,60.0,26.957361,Acceptable,unavailable,1.3217238
SE/4206,MH,secondary,rural,80.0,60.0,27.407522,Acceptable,unavailable,2.6832337
SE/5268,MH,secondary,rural,80.0,60.0,25.035656,Acceptable,unavailable,0.8451584
SE/7039,MH,secondary,rural,80.0,60.0,23.362228,Acceptable,unavailable,0.70227075
SE/5266,MH,secondary,rural,80.0,60.0,25.272964,Acceptable,unavailable,0.9184895
SE/5708,MH,secondary,rural,80.0,60.0,21.52092,Acceptable,unavailable,1.4585143
SE/5904,MH,secondary,rural,80.0,60.0,24.072481,Acceptable,unavailable,0.8891909
SE/5006,MH,secondary,rural,80.0,60.0,23.65426,Acceptable,unavailable,1.0461992
SE/6808,MH,secondary,rural,80.0,60.0,27.45377,Acceptable,unavailable,0.8523383
SE/5688,MH,secondary,rural,80.0,60.0,28.16096,Acceptable,unavailable,1.6753503
SE/8283,MH,secondary,rural,80.0,60.0,23.166592,Acceptable,unavailable,1.4701468
SE/7547,MH,secondary,rural,80.0,60.0,25.041946,Acceptable,unavailable,1.5259883
SE/5692,MH,secondary,rural,80.0,60.0,28.28327,Acceptable,unavailable,0.91118497
SE/5695,MH,secondary,rural,80.0,60.0,26.207527,Acceptable,unavailable,0.5869146
SE/5647,MH,secondary,rural,80.0,60.0,28.937641,Acceptable,unavailable,1.1056153
SE/9360,MH,secondary,rural,80.0,60.0,25.452425,Acceptable,unavailable,0.482238
SE/4411,MH,secondary,rural,80.0,60.0,28.642275,Acceptable,unavailable,0.8235223
SE/10876,MH,secondary,rural,80.0,60.0,25.792978,Acceptable,unavailable,1.2224607
SE/10342,MH,secondary,rural,80.0,60.0,25.059599,Acceptable,unavailable,1.5243795
SE/4455,MH,secondary,urban,80.0,50.0,48.857906,Moderate,unavailable,2.6548774
SE/8142,MH,secondary,rural,80.0,60.0,22.473911,Acceptable,unavailable,1.0281137
PR/355,MH,primary,rural,80.0,60.0,28.25345,Acceptable,unavailable,2.285421
SE/4487,MH,secondary,rural,80.0,60.0,26.300632,Acceptable,unavailable,0.5191692
SE/4959,MH,secondary,rural,80.0,60.0,27.068993,Acceptable,unavailable,1.0071208
SE/8534,MH,secondary,rural,80.0,60.0,32.469444,Acceptable,unavailable,1.6865802
SE/7010,MH,secondary,rural,80.0,60.0,29.759289,Acceptable,unavailable,1.5767457
SE/5691,MH,secondary,rural,80.0,60.0,28.029135,Acceptable,unavailable,0.5335265
SE/5699,MH,secondary,rural,80.0,60.0,25.65328,Acceptable,unavailable,0.9076207
SE/7523,MH,secondary,rural,80.0,60.0,29.774755,Acceptable,unavailable,1.2256352
TR/13730,MH,trunk,rural,80.0,90.0,18.75088,Acceptable,unavailable,1.4450653
TR/13795,MH,trunk,rural,80.0,90.0,17.023127,Acceptable,unavailable,1.1886659
SE/4488,MH,secondary,rural,80.0,60.0,27.623146,Acceptable,unavailable,0.97619545
SE/4456,MH,secondary,rural,80.0,60.0,29.200195,Acceptable,unavailable,0.42653018
SE/10331,MH,secondary,rural,80.0,60.0,29.103329,Acceptable,unavailable,0.90583944
SE/4563,MH,secondary,rural,80.0,60.0,25.871784,Acceptable,unavailable,0.7767192
SE/8735,MH,secondary,rural,80.0,60.0,30.458511,Acceptable,unavailable,0.9998813
TR/13999,MH,trunk,rural,80.0,90.0,18.634853,Acceptable,unavailable,0.9866249
TR/13745,MH,trunk,urban,80.0,60.0,32.882397,Acceptable,unavailable,0.90676963
SE/4425,MH,secondary,rural,80.0,60.0,26.110975,Acceptable,unavailable,0.72493005
