country_code,_region,road_class_norm,sss_band,sss,n_segments,speed_limit,speed_85th,pct_over_limit,nilsson_fatal_ratio,est_lives_saved,lives_saved_lower,lives_saved_upper,recommended_limit,limit_change_needed,credibility_class,change_effort,land_use,corridor_label,area_km2,priority_rank,corridor_id
TH,14,trunk,Critical,69.08479942498292,7,88.57142857142857,105.14743589571428,0.5428321212339007,11.503873847415122,12.4004,6.2003,24.801099999999998,60.0,28.571428571428573,Low Credibility,Major (>20 km/h),urban,TH | 14 | trunk,57.65,1,1
TH,74,trunk,Critical,62.87907832228189,3,86.66666666666667,99.06060606,0.3924130774859081,9.026686419753087,7.9060999999999995,3.9530000000000003,15.812299999999999,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),urban,TH | 74 | trunk,0.38,2,2
TH,19,trunk,Critical,58.838643071063245,14,87.85714285714286,96.91309523785715,0.3779032591380598,8.684481558641973,7.7598,3.8799,15.5197,60.0,27.857142857142858,Credible,Major (>20 km/h),urban,TH | 19 | trunk,588.96,3,3
TH,30,trunk,Critical,63.09988938647499,36,86.80555555555556,100.51120580777778,0.43946318810749857,13.970982716049383,5.7032,2.8519,11.407,60.0,26.805555555555557,Low Credibility,Major (>20 km/h),urban,TH | 30 | trunk,5100.72,4,4
TH,73,trunk,High Risk,50.27949584558203,3,90.0,87.12268518333333,0.2304508529756929,4.638975129230191,4.49,2.245,8.9801,60.0,30.0,Credible,Major (>20 km/h),urban,TH | 73 | trunk,1.14,5,5
TH,12,primary,Critical,62.344084080549536,10,85.0,94.561666666,0.3757458113533684,18.008140960000002,3.7702,1.885,7.5401,50.0,35.0,Credible,Major (>20 km/h),urban,TH | 12 | primary,36.76,6,6
TH,10,secondary,Critical,53.57383519860787,55,79.9090909090909,72.4220959589091,0.11432468350137871,14.757890559999998,3.5684,1.7844999999999998,7.1369,49.45454545454545,30.454545454545453,Credible,Major (>20 km/h),urban,TH | 10 | secondary,1231.04,7,7
TH,13,primary,High Risk,50.61088492703347,26,83.26923076923077,77.60064102538462,0.1117667485861662,10.03875856,2.5481,1.2739,5.0954,50.0,33.26923076923077,Credible,Major (>20 km/h),urban,TH | 13 | primary,383.77,8,8
TH,73,trunk,Critical,58.877561899500186,3,80.0,93.0,0.4585660050292983,6.284770447530863,2.2362,1.118,4.4722,60.0,20.0,Low Credibility,Moderate (11-20 km/h),urban,TH | 73 | trunk,0.23,9,9
TH,11,secondary,Critical,56.95510833190265,11,80.9090909090909,76.57575757545455,0.15020301644729223,12.491983359999997,2.1482,1.0742,4.2967,50.0,30.90909090909091,Credible,Major (>20 km/h),urban,TH | 11 | secondary,143.61,10,10
TH,76,trunk,Critical,66.07446257708017,11,88.18181818181819,103.42424242363636,0.5124593712697985,11.297067901234566,1.8934,0.9467,3.7867,60.0,28.181818181818183,Low Credibility,Major (>20 km/h),urban,TH | 76 | trunk,156.31,11,11
TH,10,primary,High Risk,50.54052137255234,45,80.11111111111111,73.3251851848889,0.08641598985056333,6.972900390625,1.8785,0.9391,3.7563,49.55555555555556,30.555555555555557,Credible,Major (>20 km/h),urban,TH | 10 | primary,466.49,12,12
TH,17,trunk,Critical,70.66316455869661,6,86.66666666666667,113.330555555,0.7023973728890155,15.473296373456792,1.8389,0.9195,3.6776999999999997,60.0,26.666666666666668,Non-Credible,Major (>20 km/h),urban,TH | 17 | trunk,25.89,13,13
TH,74,secondary,Critical,54.37063366312302,9,83.33333333333333,71.14393939333334,0.12043166460056673,11.462287360000001,1.7614,0.8808,3.5229,50.0,33.333333333333336,Under-Speed,Major (>20 km/h),urban,TH | 74 | secondary,179.89,14,14
TH,77,trunk,Critical,63.45213887543963,21,85.71428571428571,100.22619047476189,0.46442121952868537,10.4976,1.6696,0.8348,3.3393,60.0,25.714285714285715,Low Credibility,Major (>20 km/h),urban,TH | 77 | trunk,1981.7,15,15
TH,14,secondary,Critical,53.94391629902429,14,86.42857142857143,82.01020408142857,0.10918288068323263,20.199631360000005,1.5972,0.7986,3.1943,50.0,36.42857142857143,Credible,Major (>20 km/h),urban,TH | 14 | secondary,945.6,16,16
TH,50,primary,Critical,60.710367538947985,34,82.3529411764706,90.51887254882352,0.34502149610615823,18.717736960000003,1.348,0.6739,2.6958,50.0,32.35294117647059,Credible,Major (>20 km/h),urban,TH | 50 | primary,3479.39,17,17
TH,12,secondary,Critical,55.44724346516391,14,80.71428571428571,77.46428571357144,0.1546702723011705,11.462287360000001,1.0699,0.5347999999999999,2.1399,50.0,30.714285714285715,Credible,Major (>20 km/h),urban,TH | 12 | secondary,161.82,18,18
TH,70,trunk,Critical,66.4576990801073,10,86.0,102.05,0.5418648580982086,11.297067901234566,1.0537999999999998,0.5270999999999999,2.1075,60.0,26.0,Low Credibility,Major (>20 km/h),urban,TH | 70 | trunk,269.11,19,19
TH,40,trunk,Critical,60.326126276024006,17,85.88235294117646,98.49607843117647,0.42328071577108733,10.812113098271602,1.0403,0.5201,2.0807,60.0,25.88235294117647,Low Credibility,Major (>20 km/h),urban,TH | 40 | trunk,5345.11,20,20
TH,13,secondary,Critical,54.02000110986908,23,83.69565217391305,80.78260869521739,0.1355300802590893,14.757890559999998,0.9187000000000001,0.45940000000000003,1.8376000000000001,50.869565217391305,32.82608695652174,Credible,Major (>20 km/h),urban,TH | 13 | secondary,453.36,21,21
TH,20,trunk,Critical,60.746222885912275,14,85.71428571428571,97.43452380857143,0.5091321031390407,11.713506250000002,0.903,0.4517,1.8062,60.0,25.714285714285715,Credible,Major (>20 km/h),urban,TH | 20 | trunk,1700.46,22,22
TH,10,secondary,High Risk,51.900542400000006,201,80.04975124378109,52.485074626815916,0.0,7.871531640625001,0.8482,0.42410000000000003,1.6961,44.72636815920398,35.32338308457712,Under-Speed,Major (>20 km/h),urban,TH | 10 | secondary,1294.04,23,23
TH,27,trunk,Critical,64.78953472923867,6,86.66666666666667,101.93888888833334,0.41726541163972813,10.114166743827163,0.8215,0.4106,1.6431,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),urban,TH | 27 | trunk,78.49,24,24
TH,60,trunk,Critical,68.94282019405522,16,89.375,106.56666666625,0.5008961873373206,14.459006249999998,0.8214,0.4107,1.6431,60.0,29.375,Low Credibility,Major (>20 km/h),urban,TH | 60 | trunk,2941.57,25,25
TH,10,primary,Critical,59.161585890998225,22,79.77272727272727,86.81547618954545,0.29925141444194675,15.90876715586463,0.8023,0.4011,1.6049,50.0,29.772727272727273,Credible,Major (>20 km/h),urban,TH | 10 | primary,446.88,26,26
TH,52,trunk,Critical,63.69155859228617,13,86.92307692307692,100.39743589692307,0.4488373733950098,13.032099999999998,0.7921,0.3963,1.5841,60.0,26.923076923076923,Credible,Major (>20 km/h),urban,TH | 52 | trunk,1972.1,27,27
TH,13,primary,Critical,61.95528208605219,21,82.38095238095238,91.15343915333334,0.3608578200856555,23.425600000000006,0.7781,0.389,1.5562,50.0,32.38095238095238,Credible,Major (>20 km/h),urban,TH | 13 | primary,81.67,28,28
TH,71,primary,Critical,62.25073004497034,40,85.875,100.78333333325,0.48327273257303577,21.767823360000005,0.7683,0.38380000000000003,1.5362,55.0,30.875,Low Credibility,Major (>20 km/h),urban,TH | 71 | primary,1441.53,29,29
TH,30,primary,High Risk,50.67878434080009,26,84.61538461538461,81.78846153807693,0.13662936194837408,11.462287360000001,0.7682,0.3842,1.5365,50.76923076923077,33.84615384615385,Credible,Major (>20 km/h),urban,TH | 30 | primary,5858.42,30,30
TH,73,primary,High Risk,50.97117164931829,9,84.0,85.25,0.22615093895983898,10.971993760000002,0.7667,0.3835,1.5338,52.22222222222222,31.77777777777778,Credible,Major (>20 km/h),urban,TH | 73 | primary,1097.48,31,31
TH,21,trunk,High Risk,50.32084035605817,3,90.0,89.41666666666667,0.20443933226198815,5.527723456790125,0.7131000000000001,0.35660000000000003,1.4262,60.0,30.0,Credible,Major (>20 km/h),urban,TH | 21 | trunk,35.92,32,32
TH,62,trunk,Critical,71.19106262626396,8,88.75,107.26041666625,0.5809551244612283,12.141353086419754,0.6296999999999999,0.3147,1.2590999999999999,60.0,28.75,Low Credibility,Major (>20 km/h),urban,TH | 62 | trunk,76.02,33,33
TH,50,primary,High Risk,50.67777484809742,35,85.57142857142857,81.54557823085715,0.12400945115973315,11.462287360000001,0.6131,0.3062,1.2259,50.57142857142857,35.0,Credible,Major (>20 km/h),urban,TH | 50 | primary,3822.7,34,34
TH,20,trunk,High Risk,50.78715601926951,4,90.0,84.6249999975,0.37491585665783755,5.608271833704698,0.5822,0.2911,1.1644,60.0,30.0,Credible,Major (>20 km/h),urban,TH | 20 | trunk,453.85,35,35
TH,11,primary,High Risk,50.469196772057046,5,82.0,72.58333333200001,0.06656347396097784,5.5517962506249985,0.5668,0.2834,1.1336,50.0,32.0,Credible,Major (>20 km/h),urban,TH | 11 | primary,126.56,36,36
TH,19,secondary,Critical,55.385855824594316,21,85.95238095238095,84.41666666666667,0.1763151502645434,14.757890559999998,0.5617,0.2809,1.1229,50.0,35.95238095238095,Credible,Major (>20 km/h),urban,TH | 19 | secondary,1265.34,37,37
TH,22,trunk,Critical,60.987502801408205,8,88.75,98.7395833325,0.42181185272373234,9.864446273149609,0.4893,0.2445,0.9782,60.0,28.75,Credible,Major (>20 km/h),urban,TH | 22 | trunk,232.41,38,38
TH,13,secondary,High Risk,51.9005424,13,85.38461538461539,61.85164835153846,0.0,6.553600000000001,0.4823,0.24130000000000001,0.9650000000000001,47.69230769230769,37.69230769230769,Under-Speed,Major (>20 km/h),urban,TH | 13 | secondary,282.63,39,39
TH,11,secondary,High Risk,51.88610221516931,48,83.75,56.819444444375,0.012499998483817205,5.62448656,0.45080000000000003,0.2252,0.9014,45.416666666666664,38.333333333333336,Under-Speed,Major (>20 km/h),urban,TH | 11 | secondary,533.71,40,40
TH,18,trunk,Critical,69.7120009949759,10,86.5,105.95,0.58130850889038,13.032099999999998,0.4437,0.2218,0.8873,60.0,26.5,Low Credibility,Major (>20 km/h),urban,TH | 18 | trunk,128.97,41,41
TH,12,primary,High Risk,50.66192880808796,21,86.19047619047619,81.36904761904762,0.11539973970504484,10.971993760000002,0.4201,0.2099,0.8398,50.0,36.19047619047619,Credible,Major (>20 km/h),urban,TH | 12 | primary,143.57,42,42
TH,72,trunk,Critical,65.32192726294727,19,85.26315789473684,102.77631578947368,0.5624828732559873,12.580814891975308,0.3696,0.1846,0.7395,60.0,25.263157894736842,Low Credibility,Major (>20 km/h),urban,TH | 72 | trunk,1011.3,43,43
TH,60,primary,Critical,63.58584790289123,6,88.33333333333333,102.16666666666667,0.45938655081766533,22.585305760000008,0.3637,0.18180000000000002,0.7273000000000001,53.333333333333336,35.0,Low Credibility,Major (>20 km/h),urban,TH | 60 | primary,713.32,44,44
TH,24,trunk,Critical,62.60004053705908,17,86.76470588235294,99.06862745058822,0.4310264121976595,10.114166743827163,0.3617,0.1807,0.7232,60.0,26.764705882352942,Low Credibility,Major (>20 km/h),urban,TH | 24 | trunk,1110.51,45,45
TH,50,secondary,Critical,54.59277131878818,26,80.76923076923077,79.6923076923077,0.24949910639692247,10.971993760000002,0.35680000000000006,0.1781,0.7131,50.0,30.76923076923077,Credible,Major (>20 km/h),urban,TH | 50 | secondary,4800.61,46,46
TH,41,trunk,Critical,64.51301438571427,7,84.28571428571429,101.61904761857143,0.5776745766760151,9.741334567901234,0.3548,0.1775,0.7095,60.0,24.285714285714285,Low Credibility,Moderate (11-20 km/h),urban,TH | 41 | trunk,579.02,47,47
TH,25,primary,Critical,58.12598568515919,4,90.0,106.578125,0.4789779446540278,16.64966416,0.344,0.172,0.688,60.0,30.0,Non-Credible,Major (>20 km/h),rural,TH | 25 | primary,31.62,48,48
TH,65,trunk,Critical,62.06455838942002,16,83.75,99.864583333125,0.520954930813717,10.4976,0.33899999999999997,0.1696,0.6781,60.0,23.75,Low Credibility,Moderate (11-20 km/h),urban,TH | 65 | trunk,390.59,49,49
TH,60,primary,High Risk,50.73436993391401,4,85.0,81.41666666500001,0.16721026421113375,7.233948159999998,0.3332,0.1665,0.6664,50.0,35.0,Credible,Major (>20 km/h),urban,TH | 60 | primary,386.48,50,50
TH,20,secondary,Critical,53.916019156172176,28,86.07142857142857,82.2976190475,0.13108799177058392,11.968832160000003,0.3229,0.161,0.6451,50.0,36.07142857142857,Credible,Major (>20 km/h),urban,TH | 20 | secondary,1786.24,51,51
TH,40,trunk,High Risk,50.475735055732784,4,90.0,90.55,0.2075053365129444,5.648874541859569,0.3219,0.161,0.6438,60.0,30.0,Credible,Major (>20 km/h),urban,TH | 40 | trunk,2117.0,52,52
TH,14,primary,High Risk,50.72811117839457,19,86.84210526315789,85.32017543842105,0.14135133975282899,11.462287360000001,0.2982,0.149,0.5962000000000001,51.05263157894737,35.78947368421053,Credible,Major (>20 km/h),urban,TH | 14 | primary,727.05,53,53
TH,74,primary,High Risk,50.797189170108936,4,88.75,88.66666666500001,0.17528962431346662,11.297067897948152,0.29510000000000003,0.14750000000000002,0.5902000000000001,50.0,38.75,Credible,Major (>20 km/h),urban,TH | 74 | primary,0.45,54,54
TH,86,trunk,Critical,65.28076469762588,19,87.89473684210526,102.23684210526316,0.45349260041293593,10.891833410493827,0.28300000000000003,0.14150000000000001,0.5662,60.0,27.894736842105264,Low Credibility,Major (>20 km/h),urban,TH | 86 | trunk,190.77,55,55
TH,40,primary,Critical,61.953799218027996,10,70.5,90.265,0.595473533170349,15.36953616,0.2802,0.1402,0.5606,52.0,18.5,Low Credibility,Minor (<=10 km/h),urban,TH | 40 | primary,1092.78,56,56
TH,80,trunk,Critical,65.60004006983912,19,87.36842105263158,103.74561403473683,0.5129658015519978,15.473296373456792,0.2739,0.1369,0.5473,60.0,27.36842105263158,Low Credibility,Major (>20 km/h),urban,TH | 80 | trunk,1953.29,57,57
TH,40,primary,High Risk,50.77881155278799,4,82.5,76.76785714249999,0.18370656306714658,8.157307209999999,0.2615,0.13069999999999998,0.5232,50.0,32.5,Credible,Major (>20 km/h),urban,TH | 40 | primary,35.87,58,58
TH,57,trunk,Critical,61.28806081611835,7,80.0,101.78571428571429,0.6432286142570521,11.297067901234566,0.2584,0.1291,0.5164,60.0,20.0,Non-Credible,Moderate (11-20 km/h),urban,TH | 57 | trunk,215.55,59,59
