segment_id,country_code,road_class_norm,land_use,sss,sss_band,speed_limit,ss_limit,speed_85th,sub_score_limit_alignment,sub_score_limit_credibility,sub_score_vru_risk,sss_recommendation,image_url,review_group
SE/4492,MH,secondary,rural,82.91104,Critical,45.0,30.0,24.333333333333332,100.0,65.0,91.1744,Posted limit (45 km/h) exceeds Safe System standard (30 km/h) for this rural secondary road — recommend reducing to 30 km/h. Road behaviour (24 km/h F85) is well below the posted limit (45 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=18.430687,73.143469",TOP 20 (highest SSS)
SE/6695,MH,secondary,urban,82.12588751999999,Critical,80.0,50.0,40.0,100.0,65.0,88.9311072,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. Road behaviour (40 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=21.039994,75.841818",TOP 20 (highest SSS)
SE/9313,MH,secondary,rural,81.78476799999999,Critical,55.0,30.0,30.5,100.0,65.0,87.95647999999998,Posted limit (55 km/h) exceeds Safe System standard (30 km/h) for this rural secondary road — recommend reducing to 30 km/h. Road behaviour (30 km/h F85) is well below the posted limit (55 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=20.718615,76.820499",TOP 20 (highest SSS)
16053,TH,secondary,rural,80.614816,Critical,80.0,50.0,48.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (48 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.847701,98.334164",TOP 20 (highest SSS)
16057,TH,secondary,rural,80.614816,Critical,80.0,50.0,41.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (41 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.831708,98.337812",TOP 20 (highest SSS)
16058,TH,secondary,rural,80.614816,Critical,80.0,50.0,53.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (53 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.831720,98.337854",TOP 20 (highest SSS)
17119,TH,secondary,rural,80.614816,Critical,80.0,50.0,37.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (37 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.593186,100.596420",TOP 20 (highest SSS)
17120,TH,secondary,rural,80.614816,Critical,80.0,50.0,47.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (47 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.597924,100.596931",TOP 20 (highest SSS)
17306,TH,secondary,rural,80.614816,Critical,80.0,50.0,58.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (58 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.828929,98.344551",TOP 20 (highest SSS)
33623,TH,secondary,rural,80.614816,Critical,90.0,40.0,52.0,100.0,65.0,84.61376000000001,Posted limit (90 km/h) exceeds Safe System standard (40 km/h) for this rural secondary road — recommend reducing to 40 km/h. Road behaviour (52 km/h F85) is well below the posted limit (90 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.822622,98.328717",TOP 20 (highest SSS)
34619,TH,secondary,rural,80.614816,Critical,90.0,50.0,54.0,100.0,65.0,84.61376000000001,Posted limit (90 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (54 km/h F85) is well below the posted limit (90 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.319890,100.916226",TOP 20 (highest SSS)
34622,TH,secondary,rural,80.614816,Critical,90.0,50.0,53.0,100.0,65.0,84.61376000000001,Posted limit (90 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (53 km/h F85) is well below the posted limit (90 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.335442,100.931513",TOP 20 (highest SSS)
34623,TH,secondary,rural,80.614816,Critical,90.0,50.0,40.0,100.0,65.0,84.61376000000001,Posted limit (90 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (40 km/h F85) is well below the posted limit (90 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.333298,100.934117",TOP 20 (highest SSS)
34798,TH,secondary,rural,80.614816,Critical,80.0,50.0,32.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (32 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.303090,100.902769",TOP 20 (highest SSS)
35090,TH,secondary,rural,80.614816,Critical,80.0,30.0,42.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (30 km/h) for this rural secondary road — recommend reducing to 30 km/h. Road behaviour (42 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.778550,98.319668",TOP 20 (highest SSS)
35091,TH,secondary,rural,80.614816,Critical,80.0,50.0,60.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (60 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.777417,98.328137",TOP 20 (highest SSS)
35092,TH,secondary,rural,80.614816,Critical,80.0,50.0,56.0,100.0,65.0,84.61376000000001,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this rural secondary road — recommend reducing to 50 km/h. Road behaviour (56 km/h F85) is well below the posted limit (80 km/h) — road conditions do not support the posted number; review limit or infrastructure. Priority segment: recommend immediate site review. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=7.777420,98.328093",TOP 20 (highest SSS)
