segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,ml_predicted_sss,ml_predicted_band,ml_shap_top_feature,ml_confidence
SE/4183,MH,secondary,rural,70.83333333333334,50.0,30.278835,Acceptable,unavailable,1.6720705
SE/8617,MH,secondary,rural,70.83333333333334,50.0,32.76321,Acceptable,unavailable,0.8675038
SE/4924,MH,secondary,rural,85.0,60.0,28.255692,Acceptable,unavailable,1.9015188
SE/4206,MH,secondary,rural,70.83333333333334,50.0,30.658445,Acceptable,unavailable,1.3646581
SE/5268,MH,secondary,rural,85.0,60.0,28.073545,Acceptable,unavailable,0.6735207
SE/7039,MH,secondary,rural,85.0,60.0,26.10367,Acceptable,unavailable,1.1048746
SE/5266,MH,secondary,rural,85.0,60.0,26.694563,Acceptable,unavailable,1.3551272
SE/5708,MH,secondary,rural,85.0,60.0,25.580748,Acceptable,unavailable,0.59373355
SE/5904,MH,secondary,rural,85.0,60.0,25.374475,Acceptable,unavailable,1.3507123
SE/5006,MH,secondary,rural,70.83333333333334,50.0,28.482954,Acceptable,unavailable,1.2827168
SE/6808,MH,secondary,rural,85.0,60.0,26.61091,Acceptable,unavailable,0.6226601
SE/5688,MH,secondary,rural,85.0,60.0,26.739634,Acceptable,unavailable,1.1834931
SE/8283,MH,secondary,rural,85.0,60.0,25.454832,Acceptable,unavailable,1.0232362
SE/7547,MH,secondary,rural,85.0,60.0,26.709785,Acceptable,unavailable,0.73435956
SE/5692,MH,secondary,rural,85.0,60.0,27.004026,Acceptable,unavailable,1.2538096
SE/5695,MH,secondary,rural,85.0,60.0,27.528788,Acceptable,unavailable,0.73888016
SE/5647,MH,secondary,rural,85.0,60.0,29.806498,Acceptable,unavailable,0.77979946
SE/9360,MH,secondary,rural,85.0,60.0,25.986378,Acceptable,unavailable,1.0654573
SE/4411,MH,secondary,rural,85.0,60.0,31.01413,Acceptable,unavailable,1.2288586
SE/10876,MH,secondary,rural,85.0,60.0,25.7588,Acceptable,unavailable,0.6903075
SE/10342,MH,secondary,rural,85.0,60.0,26.441204,Acceptable,unavailable,1.5115087
SE/4455,MH,secondary,urban,80.0,50.0,47.52874,Moderate,unavailable,2.6764083
SE/8142,MH,secondary,rural,85.0,60.0,25.139639,Acceptable,unavailable,1.4985788
PR/355,MH,primary,rural,53.33333333333333,40.0,32.789238,Acceptable,unavailable,0.70095533
SE/4487,MH,secondary,rural,85.0,60.0,26.988153,Acceptable,unavailable,0.781404
SE/4959,MH,secondary,rural,85.0,60.0,27.906717,Acceptable,unavailable,0.80900437
SE/8534,MH,secondary,rural,85.0,60.0,29.63509,Acceptable,unavailable,1.2706175
SE/7010,MH,secondary,rural,85.0,60.0,29.859936,Acceptable,unavailable,1.583896
SE/5691,MH,secondary,rural,85.0,60.0,27.89485,Acceptable,unavailable,0.8267622
SE/5699,MH,secondary,rural,85.0,60.0,25.796442,Acceptable,unavailable,1.2687322
SE/7523,MH,secondary,rural,85.0,60.0,31.11912,Acceptable,unavailable,1.912366
TR/13730,MH,trunk,rural,80.0,90.0,20.585579,Acceptable,unavailable,1.5106704
TR/13795,MH,trunk,rural,80.0,90.0,17.93749,Acceptable,unavailable,0.9276427
SE/4488,MH,secondary,rural,56.66666666666667,40.0,34.391563,Acceptable,unavailable,1.0095937
SE/4456,MH,secondary,rural,85.0,60.0,29.611967,Acceptable,unavailable,0.84736925
SE/10331,MH,secondary,rural,85.0,60.0,29.87788,Acceptable,unavailable,1.0007211
SE/4563,MH,secondary,rural,85.0,60.0,27.051746,Acceptable,unavailable,0.8840099
SE/8735,MH,secondary,rural,85.0,60.0,31.900236,Acceptable,unavailable,0.7707399
TR/13999,MH,trunk,rural,80.0,90.0,16.788439,Acceptable,unavailable,0.563036
TR/13745,MH,trunk,urban,80.0,60.0,34.74958,Acceptable,unavailable,0.6611391
SE/4425,MH,secondary,rural,85.0,60.0,26.923162,Acceptable,unavailable,1.3406042
SE/7193,MH,secondary,rural,85.0,60.0,27.003748,Acceptable,unavailable,0.620304
SE/4157,MH,secondary,rural,85.0,60.0,27.782927,Acceptable,unavailable,1.527789
TR/12509,MH,trunk,rural,80.0,90.0,21.260574,Acceptable,unavailable,1.0048443
PR/3417,MH,primary,urban,80.0,50.0,44.620136,Moderate,unavailable,1.2757447
TR/13746,MH,trunk,urban,80.0,60.0,34.29217,Acceptable,unavailable,0.81282586
TR/13740,MH,trunk,urban,80.0,60.0,36.76571,Moderate,unavailable,1.7754316
